arrival_time (minutes),p1 throughput,p2 throughput,p3 throughput
2351.517693302730656366300589,169,25,25
2351.517693302730656366300589,169,25,25
2355.132705715342882200197263,169,25,26
2355.132705715342882200197263,169,25,26
2358.893599987940926741153415,169,25,26
2358.893599987940926741153415,169,25,26
2361.309888140336726045781514,169,25,26
2361.309888140336726045781514,169,25,26
2367.369636869137087351738781,170,25,26
2367.369636869137087351738781,170,25,26
2385.910639948394129070813331,170,25,26
2385.910639948394129070813331,170,25,26
2388.123865909308128106097736,171,25,26
2388.123865909308128106097736,171,25,26
2392.536543803130885208624302,171,25,26
2392.536543803130885208624302,171,25,26
2398.216705180011991991456678,172,25,26
2398.216705180011991991456678,172,25,26
2420.938414621294941440204918,172,25,26
2420.938414621294941440204918,172,25,26
2425.249748799961376419936921,173,25,26
2425.249748799961376419936921,173,25,26
2426.668336098279198018851100,173,25,26
2426.668336098279198018851100,173,25,26
2429.977435800193079937919772,173,25,26
2429.977435800193079937919772,173,25,26
2431.581279268131935731439564,173,26,26
2431.581279268131935731439564,173,26,26
2432.152329818178801843636672,174,26,26
2432.152329818178801843636672,174,26,26
2448.467201396327040805594999,174,26,26
2448.467201396327040805594999,174,26,26
2458.084007844692054998297915,174,26,26
2458.084007844692054998297915,174,26,26
2465.242007431558207340011047,175,26,26
2465.242007431558207340011047,175,26,26
2468.823608794997589963721164,175,26,26
2468.823608794997589963721164,175,26,26
2468.900072914361650381481762,176,26,26
2468.900072914361650381481762,176,26,26
2470.308523934519136042858857,176,26,26
2470.308523934519136042858857,176,26,26
2471.402537002177810829955941,177,26,26
2471.402537002177810829955941,177,26,26
2479.756811591010488535907764,177,26,26
2479.756811591010488535907764,177,26,26
2480.442310962511586833884048,178,26,26
2480.442310962511586833884048,178,26,26
2488.005256226815437779059660,178,26,26
2488.005256226815437779059660,178,26,26
2489.326002479571366163974001,179,26,26
2489.326002479571366163974001,179,26,26
2495.119548639282419075918763,179,26,26
2495.119548639282419075918763,179,26,26
2497.318363337611930672516048,179,26,26
2497.318363337611930672516048,179,26,26
2500.068719620674230961349106,180,26,26
2500.068719620674230961349106,180,26,26
2501.490088443553343997699524,180,27,26
2501.490088443553343997699524,180,27,26
2505.727197435283915536580191,180,27,26
2505.727197435283915536580191,180,27,26
2507.819932385511581960507722,180,27,26
2507.819932385511581960507722,180,27,26
2513.463665435412027624600962,181,27,26
2513.463665435412027624600962,181,27,26
2517.307267916645769110367549,181,28,26
2517.307267916645769110367549,181,28,26
2523.573323841303736789903890,181,28,26
2523.573323841303736789903890,181,28,26
2527.003366170169880253887352,181,28,26
2527.003366170169880253887352,181,28,26
2532.010413955242989023780576,181,28,26
2532.010413955242989023780576,181,28,26
2532.480526014648005626167527,182,28,26
2532.480526014648005626167527,182,28,26
2540.417747603843837998077727,182,28,26
2540.417747603843837998077727,182,28,26
2544.593732549083290626207311,183,28,26
2544.593732549083290626207311,183,28,26
2550.092660581358832237036661,183,28,26
2550.092660581358832237036661,183,28,26
2556.574218496084944438756504,184,28,26
2556.574218496084944438756504,184,28,26
2568.670869866574247273455224,184,28,26
2568.670869866574247273455224,184,28,26
2580.514479901337658949295185,185,28,26
2580.514479901337658949295185,185,28,26
2581.522027162747600390751980,185,28,26
2581.522027162747600390751980,185,28,26
2582.283338213944210524225521,185,28,26
2582.283338213944210524225521,185,28,26
2582.758310996117107147945770,186,28,26
2582.758310996117107147945770,186,28,26
2593.300627647260206829621377,186,29,26
2593.300627647260206829621377,186,29,26
2599.103212273944995745061927,186,29,26
2599.103212273944995745061927,186,29,26
