arrival_time (minutes),p1 throughput,p2 throughput,p3 throughput
2690.946049841851201051890799,88,62,65
2690.946049841851201051890799,88,62,65
2696.133774658015900441837554,88,63,65
2696.133774658015900441837554,88,63,65
2696.880482432180725808207322,88,63,65
2696.880482432180725808207322,88,63,65
2699.109209257223544071503144,88,63,65
2699.109209257223544071503144,88,63,65
2700.136741749370755833804284,88,64,65
2700.136741749370755833804284,88,64,65
2702.036124498557608959226942,88,64,65
2702.036124498557608959226942,88,64,65
2706.103958936545181785727524,88,64,65
2706.103958936545181785727524,88,64,65
2707.152117326576327755783583,88,64,65
2707.152117326576327755783583,88,64,65
2709.101523875902509159497614,88,64,65
2709.101523875902509159497614,88,64,65
2713.061801437005394702778327,88,64,65
2713.061801437005394702778327,88,64,65
2715.425077058921202228570538,88,64,65
2715.425077058921202228570538,88,64,65
2715.647655008960591189516068,89,64,65
2715.647655008960591189516068,89,64,65
2717.131471839165727406363063,90,64,65
2717.131471839165727406363063,90,64,65
2724.023040983800706796996716,90,64,66
2724.023040983800706796996716,90,64,66
2726.234334058247723737490079,90,64,66
2726.234334058247723737490079,90,64,66
2729.074752992152840206513398,90,64,66
2729.074752992152840206513398,90,64,66
2734.289668070294861471764003,90,64,66
2734.289668070294861471764003,90,64,66
2736.181695277646060474735501,90,65,66
2736.181695277646060474735501,90,65,66
2741.290886670266109865546670,90,65,66
2741.290886670266109865546670,90,65,66
2742.823658128226584846710327,90,65,66
2742.823658128226584846710327,90,65,66
2743.483619359757974482728375,91,65,66
2743.483619359757974482728375,91,65,66
2745.102860835446268509413281,91,66,66
2745.102860835446268509413281,91,66,66
2750.321037105526275460404273,91,66,66
2750.321037105526275460404273,91,66,66
2751.192614546876471887993691,91,66,66
2751.192614546876471887993691,91,66,66
2760.896269155603136131516865,91,66,66
2760.896269155603136131516865,91,66,66
2762.949068551055840754272256,92,66,66
2762.949068551055840754272256,92,66,66
2766.175944816416089003935364,92,66,66
2766.930750218933197754679102,92,66,66
2766.930750218933197754679102,92,66,66
2767.054620062633193803419696,92,66,67
2767.054620062633193803419696,92,66,67
2767.054620062633193803419696,92,66,67
2775.117778502073009545326502,92,66,67
2775.117778502073009545326502,92,66,67
2776.637615230120761104087857,92,66,67
2776.637615230120761104087857,92,66,67
2779.922037245266266620503418,92,66,67
2779.922037245266266620503418,92,66,67
2780.006243341505433878252385,92,67,67
2780.006243341505433878252385,92,67,67
2780.021294709037939128283038,92,67,67
2780.021294709037939128283038,92,67,67
2780.053450558599058279663810,93,67,67
2780.053450558599058279663810,93,67,67
2794.756951264505548230415722,93,67,67
2795.951212623258921034091751,93,67,68
2795.951212623258921034091751,93,67,68
2795.951212623258921034091751,93,67,68
2797.089651480279299759074130,93,67,69
2797.089651480279299759074130,93,67,69
2797.967704790826422865169557,93,67,69
2797.967704790826422865169557,93,67,69
2798.205090859686562913322997,94,67,69
2798.205090859686562913322997,94,67,69
2810.322522390199734224763839,94,67,69
2810.322522390199734224763839,94,67,69
2818.340539266983683262314012,94,67,69
2818.340539266983683262314012,94,67,69
2822.878421494398101635608933,94,68,69
2822.878421494398101635608933,94,68,69
2831.202642958735895504563710,94,68,69
